pair,scheme,bits,points,significant_errors,sigerr_0p5,sigerr_1p0,sigerr_2p0,projection_events,invalid_outputs,mean_err1,std_err1,rmse_err1,median_err1,p90_err1,p95_err1,p99_err1,p999_err1,max_err1,mean_err2,std_err2,rmse_err2,median_err2,p90_err2,p95_err2,p99_err2,p999_err2,max_err2,avg_input_us,avg_core_us,avg_decode_us,avg_eval_us
gelu_gelu_deriv,standard_pbs,10,1000,14,74,14,0,0,0,4.323366765462e-3,5.152243372730e-3,6.725853994887e-3,1.890276189615e-3,1.187626994251e-2,1.542767523129e-2,2.172297367911e-2,2.891528157673e-2,3.363613633428e-2,1.416544969251e-3,2.669647157542e-3,3.022187220488e-3,4.714695596661e-4,3.836414853319e-3,6.966807742952e-3,1.342507356384e-2,1.921874691338e-2,2.127442244445e-2,58.138100,211730.972000,7.257800,211796.367900
gelu_gelu_deriv,sdr_pbs,10,1000,10,77,10,0,1000,0,4.405613718237e-3,5.223398009366e-3,6.833250983139e-3,1.906780930433e-3,1.213724771711e-2,1.623309492205e-2,2.137128741847e-2,2.857381861844e-2,3.049608216066e-2,1.439641257075e-3,2.594219483386e-3,2.966907763489e-3,4.921261447419e-4,4.210670680229e-3,6.801561976816e-3,1.225215451075e-2,2.023238993144e-2,2.191011585512e-2,58.456100,108030.715100,9.634700,108098.805900
gelu_gelu_deriv,many_lut,10,1000,61,236,61,11,0,0,8.539503037735e-3,1.073051712998e-2,1.371375623264e-2,2.662529296157e-3,2.527744907781e-2,3.325799255361e-2,4.218911131100e-2,5.148399507838e-2,5.482155486893e-2,2.522363611746e-3,4.901383067581e-3,5.512338357270e-3,6.884034893813e-4,7.230153962811e-3,1.289399986811e-2,2.499973497188e-2,3.254465256467e-2,4.211832289447e-2,58.278100,107831.082800,24.330700,107913.691600

