pair,scheme,bits,points,significant_errors,sigerr_0p5,sigerr_1p0,sigerr_2p0,projection_events,invalid_outputs,mean_err1,std_err1,rmse_err1,median_err1,p90_err1,p95_err1,p99_err1,p999_err1,max_err1,mean_err2,std_err2,rmse_err2,median_err2,p90_err2,p95_err2,p99_err2,p999_err2,max_err2,avg_input_us,avg_core_us,avg_decode_us,avg_eval_us
gelu_gelu_deriv,standard_pbs,11,1000,0,10,0,0,0,0,2.232294277294e-3,2.696970941054e-3,3.500969865242e-3,9.648281115613e-4,6.045230304771e-3,7.912959238314e-3,1.172356630590e-2,1.575326069559e-2,1.690300456287e-2,7.317742598664e-4,1.303029730163e-3,1.494449746593e-3,2.430260347921e-4,2.290411038564e-3,3.875927263437e-3,5.861537501915e-3,8.303836646906e-3,1.051370800513e-2,58.437600,443676.057000,15.698400,443750.193000
gelu_gelu_deriv,sdr_pbs,11,1000,0,14,0,0,1000,0,2.269963070342e-3,2.677092224304e-3,3.509922380644e-3,9.884582259839e-4,6.430645296286e-3,8.258511032312e-3,1.115900430667e-2,1.401146274445e-2,1.467827614875e-2,7.537690635282e-4,1.388858454990e-3,1.580220114139e-3,2.482694996164e-4,2.186716564206e-3,3.834339854089e-3,6.879120804351e-3,1.087802899405e-2,1.207998100541e-2,58.951800,222489.727600,20.798100,222569.477500

