pair,scheme,bits,points,significant_errors,sigerr_0p5,sigerr_1p0,sigerr_2p0,projection_events,invalid_outputs,mean_err1,std_err1,rmse_err1,median_err1,p90_err1,p95_err1,p99_err1,p999_err1,max_err1,mean_err2,std_err2,rmse_err2,median_err2,p90_err2,p95_err2,p99_err2,p999_err2,max_err2,avg_input_us,avg_core_us,avg_decode_us,avg_eval_us
tanh_sech2,standard_pbs,9,1000,56,275,56,1,0,0,3.758309273708e-3,4.029021684998e-3,5.509800752752e-3,2.188344592358e-3,9.470405743264e-3,1.269948034364e-2,1.910786105150e-2,2.403719575466e-2,2.528730241366e-2,3.460414806877e-3,3.409801656816e-3,4.858108477018e-3,2.392335075819e-3,8.339875745077e-3,9.971773310420e-3,1.552441510462e-2,1.965137612734e-2,2.467203971436e-2,57.651000,103782.550800,3.968100,103844.169900
tanh_sech2,sdr_pbs,9,1000,82,311,82,6,1000,0,4.024525232872e-3,4.174498402661e-3,5.798555015161e-3,2.487249551103e-3,9.905457536803e-3,1.345639167380e-2,1.899276911159e-2,2.544608347668e-2,2.558721916495e-2,3.889627155033e-3,3.697177223793e-3,5.366406509882e-3,2.810878435247e-3,8.939227427713e-3,1.158270126886e-2,1.584686521548e-2,2.236500580623e-2,2.470018389678e-2,58.145200,52377.038300,5.224000,52440.407500
tanh_sech2,many_lut,9,1000,68,288,68,0,0,0,3.965919257124e-3,4.259673339764e-3,5.820080112466e-3,2.334102925868e-3,9.941585362927e-3,1.298194923116e-2,1.909943905728e-2,2.457762961893e-2,2.878999990547e-2,3.593095221379e-3,3.377395994020e-3,4.931240915867e-3,2.538773959251e-3,8.571788872650e-3,1.115291254845e-2,1.445977376305e-2,1.706542616136e-2,1.879225416564e-2,58.511900,106864.358500,24.595100,106947.465500

