pair,scheme,bits,points,significant_errors,sigerr_0p5,sigerr_1p0,sigerr_2p0,projection_events,invalid_outputs,mean_err1,std_err1,rmse_err1,median_err1,p90_err1,p95_err1,p99_err1,p999_err1,max_err1,mean_err2,std_err2,rmse_err2,median_err2,p90_err2,p95_err2,p99_err2,p999_err2,max_err2,avg_input_us,avg_core_us,avg_decode_us,avg_eval_us
tanh_sech2,standard_pbs,10,1000,1,58,1,0,0,0,1.916516013280e-3,2.104778838555e-3,2.846599302394e-3,1.148514971057e-3,4.734282403318e-3,6.351544736249e-3,9.839011064396e-3,1.249249666384e-2,1.337321242748e-2,1.753318327754e-3,1.689931436690e-3,2.435157781162e-3,1.231494471181e-3,4.168922228673e-3,5.037400750385e-3,7.118722279126e-3,9.886143728103e-3,1.079617739091e-2,58.842300,211457.194200,7.303800,211523.340300
tanh_sech2,sdr_pbs,10,1000,3,76,3,0,1000,0,1.915231786927e-3,1.953406744497e-3,2.735673720877e-3,1.193887339381e-3,4.602714791583e-3,5.958864231163e-3,8.971443014326e-3,1.070772505180e-2,1.166636527969e-2,1.903037100168e-3,1.831844611726e-3,2.641439926655e-3,1.322782929263e-3,4.412659421866e-3,5.804653819014e-3,7.993300551503e-3,1.119929868491e-2,1.123802873469e-2,58.814600,105376.459400,9.454800,105444.728800
tanh_sech2,many_lut,10,1000,51,271,51,0,0,0,3.548134342768e-3,3.803782021734e-3,5.201731921504e-3,2.072173826825e-3,8.958230238164e-3,1.166747062703e-2,1.633958757284e-2,2.031263351623e-2,2.810767054839e-2,3.413736236677e-3,3.196791684949e-3,4.676865635290e-3,2.415486026436e-3,8.066809597544e-3,9.865828304455e-3,1.382563173745e-2,1.708017123749e-2,1.781737485741e-2,58.593200,105987.870900,27.783400,106074.247500

