pair,scheme,bits,points,significant_errors,sigerr_0p5,sigerr_1p0,sigerr_2p0,projection_events,invalid_outputs,mean_err1,std_err1,rmse_err1,median_err1,p90_err1,p95_err1,p99_err1,p999_err1,max_err1,mean_err2,std_err2,rmse_err2,median_err2,p90_err2,p95_err2,p99_err2,p999_err2,max_err2,avg_input_us,avg_core_us,avg_decode_us,avg_eval_us
gelu_gelu_deriv,standard_pbs,9,1000,73,232,73,10,0,0,8.689110944895e-3,1.086267291885e-2,1.391036706757e-2,3.706321997306e-3,2.422387710283e-2,3.181178261404e-2,4.974255214532e-2,6.706002060791e-2,7.262412107406e-2,2.740410505939e-3,5.095668876097e-3,5.785818095645e-3,9.991565412819e-4,7.710541799344e-3,1.351366631224e-2,2.455030534469e-2,3.916784173749e-2,4.297058557154e-2,57.602200,103872.794800,3.814900,103934.211900
gelu_gelu_deriv,sdr_pbs,9,1000,87,279,87,13,1000,0,9.435875647098e-3,1.074748058607e-2,1.430189106991e-2,4.248392601313e-3,2.623072163639e-2,3.425104039302e-2,4.179614500652e-2,5.359927662896e-2,5.892355607297e-2,3.085765227857e-3,5.335812094977e-3,6.163833040759e-3,1.067182625936e-3,9.134869767850e-3,1.495208758348e-2,2.576695992723e-2,3.434564020820e-2,3.760270195546e-2,57.494100,51514.169100,5.166100,51576.829300
gelu_gelu_deriv,many_lut,9,1000,88,239,88,13,0,0,8.505315898720e-3,1.006629287213e-2,1.317841609316e-2,3.804776324443e-3,2.258088100215e-2,3.153232541609e-2,4.189452697339e-2,5.140886416050e-2,5.274203040178e-2,3.022402681555e-3,5.476366285617e-3,6.255038422241e-3,9.753400142438e-4,9.909951952558e-3,1.487684856846e-2,2.703476933045e-2,3.660271124806e-2,4.401037790550e-2,57.575300,105246.124900,24.040100,105327.740300

