pair,scheme,bits,points,significant_errors,sigerr_0p5,sigerr_1p0,sigerr_2p0,projection_events,invalid_outputs,mean_err1,std_err1,rmse_err1,median_err1,p90_err1,p95_err1,p99_err1,p999_err1,max_err1,mean_err2,std_err2,rmse_err2,median_err2,p90_err2,p95_err2,p99_err2,p999_err2,max_err2,avg_input_us,avg_core_us,avg_decode_us,avg_eval_us
swish_swish_deriv,many_lut,9,1000,32,223,32,1,0,0,8.695211165390e-3,1.028395316637e-2,1.346723393792e-2,4.078983558552e-3,2.315592515730e-2,3.045761720396e-2,4.329161827353e-2,5.809495933842e-2,5.929371278390e-2,2.386361496759e-3,3.178297053310e-3,3.974455101306e-3,1.096528188338e-3,6.823855708467e-3,8.765044269029e-3,1.374397588048e-2,2.200940221298e-2,3.254077150390e-2,59.029800,110292.348100,25.191700,110376.569600
gelu_gelu_deriv,standard_pbs,10,1000,15,73,15,0,0,0,4.429838359781e-3,5.474731071943e-3,7.042453280206e-3,1.900135956950e-3,1.175837743976e-2,1.709380501087e-2,2.394662027558e-2,2.993524049100e-2,4.228444716308e-2,1.354010653419e-3,2.471032295260e-3,2.817684413448e-3,4.909632069263e-4,3.565167101321e-3,6.459263545525e-3,1.324159310283e-2,1.958809881173e-2,2.055793349291e-2,59.721500,216915.406400,7.222600,216982.350500
gelu_gelu_deriv,sdr_pbs,10,1000,16,94,16,0,1000,0,4.617328517949e-3,5.564171516499e-3,7.230472135876e-3,1.964714428462e-3,1.249934878154e-2,1.639195073306e-2,2.321533826835e-2,3.618887135472e-2,3.994318239702e-2,1.539568051041e-3,2.880416132424e-3,3.266047592996e-3,4.865139902818e-4,4.979427238020e-3,7.097534792169e-3,1.503461364504e-2,2.104539407128e-2,2.293836899336e-2,59.464700,108181.046800,10.167800,108250.679300
gelu_gelu_deriv,many_lut,9,1000,67,239,67,7,0,0,8.465649966075e-3,1.014674302294e-2,1.321452319691e-2,3.847764212671e-3,2.285045169957e-2,3.084843616079e-2,4.029473927199e-2,5.895563895567e-2,6.490240346753e-2,2.725449679007e-3,4.923637325561e-3,5.627635424089e-3,9.974644381718e-4,8.091732829494e-3,1.298858662922e-2,2.164872160349e-2,4.046162648863e-2,5.056681532452e-2,57.641400,106210.514900,24.456000,106292.612300
elu_elu_deriv,standard_pbs,10,1000,11,54,11,0,0,0,4.077931857465e-3,4.406680754919e-3,6.004028939796e-3,2.217742092475e-3,1.033968719453e-2,1.380791788856e-2,1.859579667644e-2,2.355962854350e-2,2.911974584555e-2,9.593602061177e-4,1.998025350010e-3,2.216410906029e-3,1.664043986345e-4,2.980040727933e-3,4.815614099792e-3,1.007660948121e-2,1.492525985525e-2,1.621273699479e-2,59.772800,219798.906800,7.406100,219866.085700
elu_elu_deriv,sdr_pbs,10,1000,14,62,14,0,1000,0,4.214668942916e-3,4.576387262719e-3,6.221475281375e-3,2.301406295154e-3,1.078836754643e-2,1.411681329423e-2,1.991404118028e-2,2.355962854350e-2,2.393304007820e-2,1.073549601088e-3,2.288743938291e-3,2.528014549219e-3,1.464588828042e-4,3.332338557109e-3,5.135923969165e-3,1.138064627571e-2,1.795900696718e-2,1.911382947695e-2,59.436300,108669.087000,10.125700,108738.649000
elu_elu_deriv,many_lut,9,1000,58,209,58,4,0,0,7.973148202249e-3,8.724147710527e-3,1.181870743906e-2,4.229941291585e-3,1.966829745597e-2,2.750587084149e-2,3.885632643639e-2,4.844911937378e-2,4.901859099804e-2,1.820147378474e-3,3.783306162742e-3,4.198373732817e-3,2.724972462083e-4,5.886704654668e-3,9.791167292865e-3,1.871629867136e-2,2.854481277548e-2,3.885632643639e-2,58.070600,107194.141700,24.579000,107276.791300
mish_mish_deriv,standard_pbs,10,1000,1,39,1,0,0,0,3.530563893133e-3,4.225988325318e-3,5.506710336418e-3,1.594595024166e-3,1.000712497330e-2,1.293128267019e-2,1.798280524198e-2,2.243882817302e-2,2.338211331333e-2,1.406690270758e-3,1.878217090112e-3,2.346588365145e-3,6.575707100569e-4,3.616014675999e-3,5.406382081699e-3,9.264633929507e-3,1.219130757448e-2,1.436671662726e-2,59.377500,212959.632700,7.032300,213026.042500
mish_mish_deriv,sdr_pbs,10,1000,1,70,1,0,1000,0,3.632587228198e-3,4.588237185620e-3,5.852145798079e-3,1.606427664010e-3,9.766711095216e-3,1.420841851171e-2,1.926266573967e-2,2.549622749148e-2,2.806383363583e-2,1.492722909953e-3,2.027296543642e-3,2.517568859389e-3,6.993760803600e-4,4.151885264906e-3,5.837120927966e-3,9.516754142012e-3,1.365857160207e-2,1.400513665710e-2,58.905000,106285.080300,9.928200,106353.913500
mish_mish_deriv,many_lut,9,1000,55,237,55,3,0,0,7.218477660962e-3,8.819707332515e-3,1.139708985544e-2,3.299475092749e-3,2.038813438530e-2,2.673031564194e-2,3.754857638935e-2,4.683930632622e-2,5.483679548712e-2,2.864267863157e-3,4.251325037603e-3,5.126187176378e-3,1.222010242868e-3,8.401718899154e-3,1.174535847494e-2,2.064812450936e-2,2.904384022233e-2,3.160166751781e-2,57.949000,105897.786700,24.178800,105979.914500

