pair,scheme,bits,points,significant_errors,sigerr_0p5,sigerr_1p0,sigerr_2p0,projection_events,invalid_outputs,mean_err1,std_err1,rmse_err1,median_err1,p90_err1,p95_err1,p99_err1,p999_err1,max_err1,mean_err2,std_err2,rmse_err2,median_err2,p90_err2,p95_err2,p99_err2,p999_err2,max_err2,avg_input_us,avg_core_us,avg_decode_us,avg_eval_us
tanh_sech2,standard_pbs,10,1000,3,56,3,0,0,0,1.966378430179e-3,2.143390710860e-3,2.908739911039e-3,1.176491338341e-3,4.949924233161e-3,6.275791184279e-3,9.754360994413e-3,1.232204569367e-2,1.631893180303e-2,1.808823034378e-3,1.723294018890e-3,2.498316041904e-3,1.246919919372e-3,4.172569099215e-3,5.169818781051e-3,7.437788723774e-3,1.013850294549e-2,1.073578732296e-2,60.439300,221144.840800,7.438300,221212.718400
tanh_sech2,sdr_pbs,10,1000,3,72,3,0,1000,0,2.028719310471e-3,2.210717854147e-3,3.000495870906e-3,1.264721350496e-3,5.005114043357e-3,6.482301775251e-3,1.011227264750e-2,1.277064379595e-2,2.054190838416e-2,1.905332353599e-3,1.814087368482e-3,2.630818191771e-3,1.280256800365e-3,4.334740575190e-3,5.352289940441e-3,8.437604511292e-3,1.108331614125e-2,1.114119274464e-2,60.774100,109207.209500,10.092900,109278.076500
tanh_sech2,many_lut,9,1000,67,287,67,3,0,0,3.926845148067e-3,4.173440232017e-3,5.730420245245e-3,2.476408935045e-3,9.514799137431e-3,1.269948034364e-2,1.973764626223e-2,2.556103483622e-2,2.878999990547e-2,3.671897343360e-3,3.516785339774e-3,5.084349439822e-3,2.585442978915e-3,8.276054286141e-3,1.090785542873e-2,1.762503981086e-2,2.067570490242e-2,2.068883522838e-2,59.669300,110119.193800,25.369800,110204.232900
sigmoid_sigmoid_deriv,standard_pbs,10,1000,16,118,16,1,0,0,1.036915913861e-3,1.420905862898e-3,1.759024753560e-3,4.493655697656e-4,2.699278780670e-3,3.919416206054e-3,6.721584566916e-3,9.032181112401e-3,1.184672412579e-2,4.778535108580e-4,6.075281566021e-4,7.729388325758e-4,2.154155200580e-4,1.265417202338e-3,1.570138563223e-3,2.838087492505e-3,4.046753571257e-3,5.603293401729e-3,59.481900,216335.980100,7.146200,216402.608200
sigmoid_sigmoid_deriv,sdr_pbs,10,1000,16,119,16,0,1000,0,9.860360181483e-4,1.382768852191e-3,1.698327626718e-3,4.340744912217e-4,2.749483737384e-3,3.882675561359e-3,6.539676794195e-3,8.800389657269e-3,9.067495775902e-3,4.899147713320e-4,6.079015232503e-4,7.807437128401e-4,2.353051553466e-4,1.261193630041e-3,1.791244802715e-3,2.694860567211e-3,3.764043952534e-3,4.359770691073e-3,59.963000,110682.274700,10.161900,110752.399600
sigmoid_sigmoid_deriv,many_lut,9,1000,119,299,119,15,0,0,2.091086544373e-3,2.880746861347e-3,3.559683330751e-3,9.408722152664e-4,5.371026655720e-3,7.708311567866e-3,1.399287164386e-2,2.001828139429e-2,2.398318078068e-2,9.611154192919e-4,1.155380278907e-3,1.502879382415e-3,4.561849443316e-4,2.571420243726e-3,3.270483560900e-3,5.099571207318e-3,7.066596904620e-3,7.442530612465e-3,59.206300,110910.982000,25.243800,110995.432100
softplus_sigmoid,standard_pbs,10,1000,0,20,0,0,0,0,4.070352442713e-3,4.524998896815e-3,6.086327630360e-3,2.232891463300e-3,1.010478020818e-2,1.262978409977e-2,2.017908214295e-2,3.221736991572e-2,3.227281708134e-2,9.866886678660e-4,1.044651935121e-3,1.436959356714e-3,6.269290987382e-4,2.323629995602e-3,3.310314992967e-3,4.979651677554e-3,6.322691842364e-3,6.506252840633e-3,60.135200,220683.518300,7.478500,220751.132000
softplus_sigmoid,sdr_pbs,10,1000,0,20,0,0,1000,0,4.151806888398e-3,4.620749933913e-3,6.211990855620e-3,2.232891463300e-3,1.127496021456e-2,1.505560650315e-2,1.955838357929e-2,2.437017427653e-2,2.652871120695e-2,1.018772016983e-3,1.083823038127e-3,1.487470604941e-3,6.411502013373e-4,2.415910335490e-3,3.173639195360e-3,5.052096464345e-3,7.011170536849e-3,7.184011646428e-3,60.322900,111145.960400,10.294800,111216.578100
softplus_sigmoid,many_lut,9,1000,17,153,17,0,0,0,8.099144285812e-3,8.944145589687e-3,1.206622884301e-2,4.287338700097e-3,2.022728612392e-2,2.781554868221e-2,4.008633811866e-2,5.091468557330e-2,5.105820908005e-2,1.927593616010e-3,2.008657712742e-3,2.783940185320e-3,1.203933876214e-3,4.713849263612e-3,6.005106984298e-3,9.634602261942e-3,1.277719199872e-2,1.462006827525e-2,59.198800,110994.752800,25.315300,111079.266900
swish_swish_deriv,standard_pbs,10,1000,2,45,2,0,0,0,4.359431465427e-3,5.185737331121e-3,6.774696625616e-3,2.158638112567e-3,1.168031219347e-2,1.605103515081e-2,2.214302177129e-2,2.762417662561e-2,3.045319868948e-2,1.261610871930e-3,1.846081345236e-3,2.235996047716e-3,5.350635917076e-4,3.634524197124e-3,4.868611055396e-3,8.600267378493e-3,1.555605923173e-2,1.698063984942e-2,60.234300,220084.607500,7.239200,220152.081000
swish_swish_deriv,sdr_pbs,10,1000,3,62,3,0,1000,0,4.451296783872e-3,5.263202743975e-3,6.893137615215e-3,2.120787023753e-3,1.225664792793e-2,1.605904163248e-2,2.247290230707e-2,2.834227860138e-2,2.913878002341e-2,1.427402358760e-3,2.043796095899e-3,2.492905929914e-3,5.988886584732e-4,4.126148038889e-3,5.842385071600e-3,1.007864802745e-2,1.307975475041e-2,1.316112845490e-2,60.527800,110947.258300,10.241800,111018.027900
