pair,scheme,bits,points,significant_errors,sigerr_0p5,sigerr_1p0,sigerr_2p0,projection_events,invalid_outputs,mean_err1,std_err1,rmse_err1,median_err1,p90_err1,p95_err1,p99_err1,p999_err1,max_err1,mean_err2,std_err2,rmse_err2,median_err2,p90_err2,p95_err2,p99_err2,p999_err2,max_err2,avg_input_us,avg_core_us,avg_decode_us,avg_eval_us
tanh_sech2,standard_pbs,8,1000,285,550,285,68,0,0,7.673714764095e-3,8.098637690269e-3,1.115678406706e-2,4.878677509469e-3,1.890549815957e-2,2.351206556453e-2,3.824474591239e-2,5.073508211503e-2,5.865901109020e-2,7.379017929275e-3,6.884787315943e-3,1.009208610676e-2,5.178063074803e-3,1.641207643745e-2,2.231832751738e-2,2.947302377878e-2,4.117233892249e-2,4.568132101118e-2,57.961700,48861.165700,2.179300,48921.306700
tanh_sech2,sdr_pbs,8,1000,304,592,304,86,1000,0,7.669231128125e-3,7.862286305315e-3,1.098328967311e-2,4.746373942595e-3,1.853245396668e-2,2.338225309963e-2,3.608099780697e-2,4.301399070632e-2,4.494794770738e-2,7.803770300769e-3,7.393506453037e-3,1.075001249200e-2,5.739353748939e-3,1.865142909720e-2,2.282119727686e-2,3.099170533540e-2,4.878841664751e-2,5.550705813305e-2,57.212100,24631.893500,2.769700,24691.875300
tanh_sech2,many_lut,8,1000,113,296,113,1,0,0,4.401547081730e-3,4.359401105234e-3,6.194997555206e-3,3.101691926087e-3,1.038316010157e-2,1.385452943788e-2,2.000137647795e-2,2.325182971292e-2,2.662656164756e-2,4.009721481923e-3,3.897300095781e-3,5.591673667084e-3,2.656507552052e-3,1.017271720525e-2,1.245372440882e-2,1.671126729672e-2,1.954205985080e-2,2.283004363245e-2,58.471100,105003.105700,23.897100,105085.473900

