pair,scheme,bits,points,significant_errors,sigerr_0p5,sigerr_1p0,sigerr_2p0,projection_events,invalid_outputs,mean_err1,std_err1,rmse_err1,median_err1,p90_err1,p95_err1,p99_err1,p999_err1,max_err1,mean_err2,std_err2,rmse_err2,median_err2,p90_err2,p95_err2,p99_err2,p999_err2,max_err2,avg_input_us,avg_core_us,avg_decode_us,avg_eval_us
gelu_gelu_deriv,standard_pbs,10,100000,1246,7591,1246,5,0,0,4.438231855917e-3,5.266417864645e-3,6.887166262835e-3,1.926230552090e-3,1.196390314180e-2,1.600949838261e-2,2.227447984833e-2,2.994390892424e-2,4.100629020739e-2,1.420820714876e-3,2.585683631601e-3,2.950337497058e-3,4.810087038185e-4,4.176729546482e-3,7.093099172681e-3,1.320604314322e-2,1.982186844358e-2,3.382884553854e-2,57.950007,212683.365122,7.057920,212748.373049
gelu_gelu_deriv,sdr_pbs,10,100000,1608,8571,1608,28,100000,0,4.576430542346e-3,5.450109697281e-3,7.116699531476e-3,1.956612288265e-3,1.238273666923e-2,1.665581036297e-2,2.336801663309e-2,3.099077685532e-2,4.470631531367e-2,1.534021359230e-3,2.817343522577e-3,3.207903685396e-3,5.011943360098e-4,4.567485413385e-3,7.686717939027e-3,1.413099138805e-2,2.163456778639e-2,3.852983734652e-2,58.590601,106240.338573,9.575438,106308.504612

