scheme,avg_input_us,avg_core_us,avg_decode_us,avg_eval_us
standard_pbs,60.33337619047619,221527.92990000002,8.025680952380952,221596.28895714285
sdr_pbs,60.5201619047619,110964.16172380952,10.14377142857143,111034.82565714286
many_lut,59.80708095238095,110775.51708095237,26.14068095238095,110861.46484285715
