pair,scheme,bits,points,significant_errors,sigerr_0p5,sigerr_1p0,sigerr_2p0,projection_events,invalid_outputs,mean_err1,std_err1,rmse_err1,median_err1,p90_err1,p95_err1,p99_err1,p999_err1,max_err1,mean_err2,std_err2,rmse_err2,median_err2,p90_err2,p95_err2,p99_err2,p999_err2,max_err2,avg_input_us,avg_core_us,avg_decode_us,avg_eval_us
softplus_sigmoid,standard_pbs,8,1000,181,420,181,20,0,0,1.688072681537e-2,1.874230920044e-2,2.522366135159e-2,8.874367132013e-3,4.301420796430e-2,5.890238174746e-2,8.040644447248e-2,9.608368225407e-2,1.059854810148e-1,3.836857382047e-3,4.049318845135e-3,5.578392033528e-3,2.439338754734e-3,9.452749079783e-3,1.175603278227e-2,1.912237295620e-2,2.536754105752e-2,2.932950554510e-2,57.826800,49410.731600,2.194800,49470.753200
softplus_sigmoid,sdr_pbs,8,1000,177,453,177,14,1000,0,1.591965364509e-2,1.752809349600e-2,2.367845927808e-2,8.943904211288e-3,4.164540534746e-2,5.250224533814e-2,7.794118044493e-2,1.013025322275e-1,1.142992620562e-1,4.078229738215e-3,4.178422819266e-3,5.838764856904e-3,2.557479193015e-3,9.708070114539e-3,1.273897044578e-2,1.823924354303e-2,2.374049537055e-2,2.911717843684e-2,57.527600,24390.906500,2.997600,24451.431700
softplus_sigmoid,many_lut,8,1000,30,204,30,0,0,0,9.333092336744e-3,9.755984820258e-3,1.350132780060e-2,5.877021395846e-3,2.304629916231e-2,3.258559855449e-2,4.324038297555e-2,5.123281644902e-2,5.482319604489e-2,2.200773540865e-3,2.179700552617e-3,3.097498777603e-3,1.550845963044e-3,5.191580050783e-3,6.927264718940e-3,1.000068823897e-2,1.162591485646e-2,1.331328082378e-2,57.886800,105514.769700,24.022000,105596.678500

