pair,scheme,bits,points,significant_errors,sigerr_0p5,sigerr_1p0,sigerr_2p0,projection_events,invalid_outputs,mean_err1,std_err1,rmse_err1,median_err1,p90_err1,p95_err1,p99_err1,p999_err1,max_err1,mean_err2,std_err2,rmse_err2,median_err2,p90_err2,p95_err2,p99_err2,p999_err2,max_err2,avg_input_us,avg_core_us,avg_decode_us,avg_eval_us
softplus_sigmoid,standard_pbs,9,1000,19,161,19,0,0,0,7.898233054898e-3,9.006766139005e-3,1.197931223703e-2,4.241729266429e-3,1.994291599951e-2,2.697897186573e-2,4.108779443490e-2,6.265318418873e-2,6.970205057068e-2,1.879154636854e-3,2.014510842499e-3,2.754900376376e-3,1.094172296179e-3,4.735202871632e-3,6.349740171822e-3,9.553930525749e-3,1.201859787733e-2,1.264365120683e-2,56.974700,104150.243300,3.716500,104210.934500
softplus_sigmoid,sdr_pbs,9,1000,19,180,19,0,1000,0,8.454509178082e-3,8.741881357146e-3,1.216138212148e-2,4.686673599053e-3,2.079379392647e-2,2.734376331955e-2,3.534555368844e-2,4.348890723080e-2,5.000047657934e-2,2.090667524888e-3,2.192159126315e-3,3.029265972923e-3,1.264331112592e-3,4.971018285091e-3,6.773245500376e-3,1.065853435417e-2,1.279360958247e-2,1.343667065278e-2,57.889300,51962.825400,5.121100,52025.835800
softplus_sigmoid,many_lut,9,1000,11,159,11,0,0,0,7.809075455173e-3,8.169140018037e-3,1.130117286386e-2,4.314712015825e-3,1.961493398327e-2,2.542902966289e-2,3.538960968497e-2,4.395345074578e-2,5.099791672627e-2,1.982959628562e-3,2.129836669882e-3,2.910040056233e-3,1.167051462934e-3,4.970792681463e-3,6.490974615578e-3,9.549719528638e-3,1.228881480947e-2,1.439499995273e-2,58.498800,106092.733300,56.751700,106207.983800

