pair,scheme,bits,points,significant_errors,sigerr_0p5,sigerr_1p0,sigerr_2p0,projection_events,invalid_outputs,mean_err1,std_err1,rmse_err1,median_err1,p90_err1,p95_err1,p99_err1,p999_err1,max_err1,mean_err2,std_err2,rmse_err2,median_err2,p90_err2,p95_err2,p99_err2,p999_err2,max_err2,avg_input_us,avg_core_us,avg_decode_us,avg_eval_us
swish_swish_deriv,sdr_pbs,10,1000,0,53,0,0,1000,0,4.686954155868e-3,5.406414349112e-3,7.155197787168e-3,2.233189807104e-3,1.232617894556e-2,1.638631165805e-2,2.476688157692e-2,2.889771082735e-2,3.152259020818e-2,1.352312493686e-3,1.852096337021e-3,2.293253130858e-3,5.741318693859e-4,3.820837761228e-3,5.235961329992e-3,9.063082209701e-3,1.075909482214e-2,1.096185921008e-2,62.861600,117124.313000,10.574300,117197.748900
swish_swish_deriv,many_lut,9,1000,43,257,43,6,0,0,8.975291839612e-3,1.027314751001e-2,1.364160633388e-2,4.286757486239e-3,2.377644268012e-2,3.163333722856e-2,4.172917791636e-2,5.732844996070e-2,6.181715187023e-2,2.804599886275e-3,4.058901123008e-3,4.933605055986e-3,1.168433096828e-3,7.919382643508e-3,1.105177946065e-2,1.839873345964e-2,2.774895267332e-2,2.840119321521e-2,62.719900,117472.986200,26.811600,117562.517700
gelu_gelu_deriv,standard_pbs,10,1000,11,80,11,0,0,0,4.455056387422e-3,5.285517366032e-3,6.912613199199e-3,1.973305569185e-3,1.181221486440e-2,1.609531543030e-2,2.082505954102e-2,2.824421538153e-2,4.458341462988e-2,1.456479515944e-3,2.692386691529e-3,3.061091092582e-3,4.560512545473e-4,4.393317902019e-3,6.966807742952e-3,1.293390307050e-2,1.976761006856e-2,2.191011585512e-2,62.054100,233706.282100,8.126700,233776.462900
gelu_gelu_deriv,sdr_pbs,10,1000,14,94,14,0,1000,0,4.739143260471e-3,5.600701497791e-3,7.336711532466e-3,1.957786899297e-3,1.289095248672e-2,1.707736620701e-2,2.186314311797e-2,3.008316469746e-2,3.284912188320e-2,1.514916153535e-3,2.761329903978e-3,3.149589463858e-3,4.921261447419e-4,4.516351544637e-3,7.402540429238e-3,1.332515107412e-2,1.736835445462e-2,2.232083934299e-2,62.816600,117461.128000,10.696300,117534.640900
gelu_gelu_deriv,many_lut,9,1000,90,249,90,11,0,0,8.925902894719e-3,1.086695366190e-2,1.406280286343e-2,3.720973548290e-3,2.513392545366e-2,3.380436826441e-2,4.567983089987e-2,5.544474099161e-2,5.603790381287e-2,2.969506035096e-3,5.130042187433e-3,5.927503600784e-3,1.014588836841e-3,9.359700262681e-3,1.487684856846e-2,2.497079767350e-2,3.001772194724e-2,3.797513725998e-2,62.536100,117389.931000,26.981100,117479.448200
elu_elu_deriv,standard_pbs,10,1000,4,56,4,0,0,0,4.132942944725e-3,4.505906012812e-3,6.114278892940e-3,2.264884459591e-3,1.070821114370e-2,1.381085043988e-2,1.954887585533e-2,2.418132942327e-2,2.904447702835e-2,9.570203052333e-4,1.827292303347e-3,2.062737265505e-3,1.537686893279e-4,2.977869381931e-3,4.760897426816e-3,9.150421496549e-3,1.052471656457e-2,1.402057381120e-2,62.324000,234509.158700,8.074600,234579.557300
elu_elu_deriv,sdr_pbs,10,1000,12,63,12,0,1000,0,4.372483281467e-3,4.752825885964e-3,6.458170325177e-3,2.259239128840e-3,1.129765395894e-2,1.472873900293e-2,1.948142717498e-2,2.452737047898e-2,3.029374389052e-2,1.021314333119e-3,2.156349372761e-3,2.385985243970e-3,1.622037340014e-4,2.955812175062e-3,5.316455788266e-3,1.098924388410e-2,1.530697098481e-2,1.647622993733e-2,63.653600,118914.577900,10.692100,118988.923600
elu_elu_deriv,many_lut,9,1000,56,210,56,6,0,0,7.976068604631e-3,8.779225105084e-3,1.186138540945e-2,4.317805629237e-3,1.972504892368e-2,2.804403131115e-2,3.547847358121e-2,4.924559686888e-2,6.433757338552e-2,1.928295310730e-3,3.921263711051e-3,4.369740483940e-3,2.803463013630e-4,6.351921554660e-3,9.850904177336e-3,1.912366370789e-2,3.255119530022e-2,3.262454320900e-2,63.014500,118458.246000,27.203700,118548.464200
mish_mish_deriv,standard_pbs,10,1000,2,49,2,0,0,0,3.438778973596e-3,4.211868657164e-3,5.437374220564e-3,1.504622863578e-3,9.776787038611e-3,1.254025897047e-2,1.738722260615e-2,2.248477074486e-2,3.008897561842e-2,1.408753887373e-3,2.013708267308e-3,2.457561494859e-3,6.288349080088e-4,3.702631674895e-3,5.588752812259e-3,9.274560647707e-3,1.427553593393e-2,1.875731923984e-2,63.386500,235520.413300,19.263300,235603.063100
mish_mish_deriv,sdr_pbs,10,1000,3,58,3,0,1000,0,3.700428563544e-3,4.691801853133e-3,5.975464516082e-3,1.612037987562e-3,1.049549531634e-2,1.411488053733e-2,2.178792460988e-2,2.484090472980e-2,3.745038490829e-2,1.542858749174e-3,2.143265745338e-3,2.640833424327e-3,7.179229827869e-4,4.052226697591e-3,6.049220920806e-3,1.012649089552e-2,1.377112734938e-2,1.798264518063e-2,63.268500,118023.202400,10.607700,118097.078600
mish_mish_deriv,many_lut,9,1000,47,241,47,2,0,0,7.207253425002e-3,8.703068639830e-3,1.129990733067e-2,3.295615630763e-3,1.944205591566e-2,2.618878909021e-2,3.652421922705e-2,5.441224553259e-2,5.569242364086e-2,2.793443496605e-3,3.856036255714e-3,4.761548295892e-3,1.274398852797e-3,8.159984185111e-3,1.162186697678e-2,1.668113376772e-2,2.776391996288e-2,2.924602316687e-2,62.194000,116447.950800,26.433900,116536.578700

