pair,scheme,bits,points,significant_errors,sigerr_0p5,sigerr_1p0,sigerr_2p0,projection_events,invalid_outputs,mean_err1,std_err1,rmse_err1,median_err1,p90_err1,p95_err1,p99_err1,p999_err1,max_err1,mean_err2,std_err2,rmse_err2,median_err2,p90_err2,p95_err2,p99_err2,p999_err2,max_err2,avg_input_us,avg_core_us,avg_decode_us,avg_eval_us
tanh_sech2,standard_pbs,10,1000,0,64,0,0,0,0,1.884854075995e-3,2.000809019088e-3,2.748801851473e-3,1.168044240660e-3,4.629797265072e-3,6.275791184279e-3,9.010647713853e-3,1.271666438836e-2,1.272177153177e-2,1.757912067996e-3,1.690122400563e-3,2.438599714527e-3,1.209846397732e-3,4.165037264405e-3,5.398565470656e-3,7.437788723774e-3,9.100354254361e-3,9.985806954147e-3,62.827700,234388.599900,8.050700,234459.478300
tanh_sech2,sdr_pbs,10,1000,2,72,2,0,1000,0,1.937202038076e-3,2.107008963666e-3,2.862208676756e-3,1.174341013823e-3,4.896527535968e-3,6.042643885557e-3,9.556615272064e-3,1.379024201555e-2,1.416741524312e-2,1.909237598290e-3,1.810671116095e-3,2.631295896965e-3,1.348871350363e-3,4.389076855579e-3,5.601657544492e-3,8.372367322713e-3,1.037034004342e-2,1.171745471325e-2,63.252900,117193.084300,10.579200,117266.916400
tanh_sech2,many_lut,9,1000,55,251,55,3,0,0,3.713777708639e-3,4.134328970112e-3,5.557411349027e-3,2.245050959156e-3,9.325002827584e-3,1.200880447090e-2,1.841654486149e-2,3.185673783353e-2,3.618284629276e-2,3.374832555480e-3,3.395363491191e-3,4.787273547108e-3,2.433222992580e-3,7.544167570764e-3,1.011075832466e-2,1.607855687216e-2,2.376571689144e-2,2.544393911303e-2,62.907500,117255.357500,27.047200,117345.312200
sigmoid_sigmoid_deriv,standard_pbs,10,1000,15,121,15,0,0,0,1.061770893922e-3,1.464984266770e-3,1.809291666112e-3,4.658290541177e-4,2.964908390688e-3,3.912804124522e-3,6.804866588616e-3,9.666240589784e-3,1.259050876108e-2,4.934199772495e-4,6.170898661338e-4,7.901032697275e-4,2.349947754654e-4,1.313217381881e-3,1.856679410125e-3,2.661166782630e-3,4.123970793236e-3,4.316139945288e-3,63.203900,235420.688700,8.258200,235492.150800
sigmoid_sigmoid_deriv,sdr_pbs,10,1000,13,136,13,0,1000,0,1.047730099601e-3,1.514544524880e-3,1.841625227741e-3,4.669817514938e-4,2.815794161386e-3,3.937461291036e-3,7.725469757206e-3,9.749472172970e-3,1.110663133354e-2,5.051348492972e-4,6.310328846006e-4,8.083091719273e-4,2.424660700338e-4,1.358859163528e-3,1.755828583960e-3,2.611232583311e-3,4.647100528905e-3,4.826172847066e-3,63.892700,119681.133400,10.825900,119755.852000
sigmoid_sigmoid_deriv,many_lut,9,1000,123,286,123,15,0,0,2.047508903905e-3,2.827153080534e-3,3.490714432941e-3,9.146819932738e-4,5.354884855363e-3,7.807721073600e-3,1.258550011920e-2,2.221952994740e-2,2.230298268723e-2,9.468203229337e-4,1.126048413897e-3,1.471208263422e-3,4.884124305047e-4,2.577223768987e-3,3.371433183996e-3,5.067695709483e-3,6.266463667407e-3,7.075706138987e-3,62.757500,118783.467400,27.476600,118873.701500
softplus_sigmoid,standard_pbs,10,1000,0,15,0,0,0,0,4.069609688258e-3,4.352723403561e-3,5.958852577692e-3,2.301377417157e-3,9.991178322448e-3,1.263350869272e-2,1.928404184715e-2,2.366549542397e-2,3.147291567971e-2,9.833486878655e-4,1.077018530925e-3,1.458404456207e-3,5.818361370726e-4,2.408451126105e-3,3.236657113591e-3,4.979651677554e-3,6.771896114059e-3,7.408179725459e-3,61.890800,234033.433600,8.162700,234103.487100
softplus_sigmoid,sdr_pbs,10,1000,0,26,0,0,1000,0,4.011388881759e-3,4.504352979000e-3,6.031619726087e-3,2.258853638661e-3,9.991178322448e-3,1.386887555087e-2,2.023253110094e-2,2.799238026435e-2,3.006553815228e-2,1.056443317493e-3,1.152152975977e-3,1.563179120615e-3,6.179929079096e-4,2.607438822400e-3,3.437036191403e-3,5.226212866402e-3,6.854758794384e-3,7.142754494098e-3,62.709300,117038.486400,10.608400,117111.804100
softplus_sigmoid,many_lut,9,1000,11,161,11,0,0,0,8.059791825190e-3,8.935949848579e-3,1.203376266850e-2,4.138748657669e-3,2.084438984847e-2,2.761186926889e-2,3.692849884216e-2,4.754561545075e-2,5.100113098785e-2,1.867948717413e-3,1.883809628519e-3,2.652917474665e-3,1.243624775552e-3,4.674115453163e-3,5.841457689864e-3,8.053006087561e-3,1.225903092317e-2,1.279360958247e-2,62.689200,117184.161700,27.036400,117273.887300
swish_swish_deriv,standard_pbs,10,1000,0,60,0,0,0,0,4.721178430781e-3,5.503273125465e-3,7.250899314481e-3,2.164556812668e-3,1.245072924745e-2,1.643552403045e-2,2.448186114203e-2,2.961020277741e-2,2.961675679886e-2,1.343498209831e-3,1.885267414887e-3,2.314999063812e-3,5.624240070813e-4,4.095714895033e-3,5.398278573250e-3,8.782222071150e-3,1.146483179166e-2,1.174610423942e-2,62.201500,233731.475400,7.972100,233801.649000
