pair,scheme,bits,points,significant_errors,sigerr_0p5,sigerr_1p0,sigerr_2p0,projection_events,invalid_outputs,mean_err1,std_err1,rmse_err1,median_err1,p90_err1,p95_err1,p99_err1,p999_err1,max_err1,mean_err2,std_err2,rmse_err2,median_err2,p90_err2,p95_err2,p99_err2,p999_err2,max_err2,avg_input_us,avg_core_us,avg_decode_us,avg_eval_us
gelu_gelu_deriv,standard_pbs,8,1000,261,433,261,85,0,0,1.855219070481e-2,2.248123581155e-2,2.914772278518e-2,7.652703030764e-3,5.086651083466e-2,6.704142775645e-2,9.587431698637e-2,1.257294136404e-1,1.345223209278e-1,5.566111783264e-3,1.015640092067e-2,1.158162683068e-2,1.917021018083e-3,1.644309575756e-2,2.774421315275e-2,4.514246601315e-2,8.571190988206e-2,8.872805720115e-2,57.222500,48841.300900,2.081200,48900.604600
gelu_gelu_deriv,sdr_pbs,8,1000,251,442,251,72,1000,0,1.766224071646e-2,2.142455250243e-2,2.776627805550e-2,7.657941348308e-3,4.902913170637e-2,6.410784991233e-2,9.116294464605e-2,1.163627905617e-1,1.295671951465e-1,5.828667999806e-3,1.026607693244e-2,1.180532533371e-2,2.005695957063e-3,1.694585443617e-2,2.697146146872e-2,5.294871431856e-2,6.482767153477e-2,8.987919709222e-2,57.580100,24588.052400,2.829200,24648.461700
gelu_gelu_deriv,many_lut,8,1000,84,256,84,15,0,0,1.039262232200e-2,1.177376876746e-2,1.570440160329e-2,6.379628790495e-3,2.981599264538e-2,3.991536639740e-2,4.848888293993e-2,5.802491515933e-2,6.147995856518e-2,3.215922485727e-3,5.260503284974e-3,6.165634780412e-3,1.556912654158e-3,7.846531019781e-3,1.286387749641e-2,2.990789087960e-2,3.477912813026e-2,3.909878173249e-2,58.427100,105050.051600,24.552400,105133.031100

