pair,scheme,bits,points,projection_events,invalid_outputs,score_significant_errors,score_mean,score_std,score_rmse,score_median,score_p90,score_p95,score_p99,score_p999,score_max,update_significant_errors,update_mean,update_std,update_rmse,update_median,update_p90,update_p95,update_p99,update_p999,update_max,avg_input_us,avg_core_us,avg_decode_us,avg_downstream_us,avg_eval_us,avg_e2e_us
sigmoid_sigmoid_deriv,standard_pbs,10,1000,0,0,1,8.323121986345e-4,1.207445439940e-3,1.466515627747e-3,3.504993576539e-4,2.440285725818e-3,3.549926443540e-3,5.613746395207e-3,7.595288174106e-3,1.071860264512e-2,0,2.957854427715e-4,4.181171825861e-4,5.121630663463e-4,1.465947795952e-4,7.527575102512e-4,1.077241517185e-3,2.157232942949e-3,2.834229994790e-3,3.473626847638e-3,61.506000,229867.488500,7.883600,0.030800,229936.878100,229936.908900
sigmoid_sigmoid_deriv,sdr_pbs,10,1000,1000,0,1,8.827280070112e-4,1.271977519685e-3,1.548268563572e-3,3.628733114297e-4,2.371186951715e-3,3.802910205889e-3,5.959643430147e-3,8.641025870116e-3,1.019704276808e-2,0,3.172081648193e-4,3.969882109576e-4,5.081541689953e-4,1.679567490045e-4,7.721631011184e-4,1.066734050301e-3,1.816509188911e-3,3.099306730825e-3,3.799451546100e-3,61.339200,115419.972800,10.398200,0.033600,115491.710200,115491.743800
sigmoid_sigmoid_deriv,many_lut,9,1000,0,0,24,1.684838083890e-3,2.520163643695e-3,3.031485470842e-3,6.959212603672e-4,4.877744700431e-3,7.272998310013e-3,1.259648967932e-2,1.479407823096e-2,1.495696366643e-2,0,6.019409040299e-4,8.360889380486e-4,1.030231801233e-3,3.050136666553e-4,1.379400039486e-3,2.022735801059e-3,4.723863507100e-3,5.535581865174e-3,5.730068615249e-3,61.928000,115010.497700,27.569700,0.034200,115099.995400,115100.029600
softplus_sigmoid,standard_pbs,10,1000,0,0,0,9.689898074093e-4,9.124455861359e-4,1.330976406448e-3,6.940835892912e-4,2.217787275115e-3,2.841477913214e-3,3.621681143069e-3,5.067530841108e-3,6.800419792953e-3,0,3.183396452866e-4,3.922154511568e-4,5.051466023713e-4,1.644590715230e-4,8.934102902861e-4,1.217327524490e-3,1.696859788394e-3,2.347218788579e-3,2.442098460794e-3,61.954300,229398.014700,8.006800,0.030000,229467.975800,229468.005800
softplus_sigmoid,sdr_pbs,10,1000,1000,0,0,1.051512303866e-3,1.044754394745e-3,1.482292100269e-3,6.600628308606e-4,2.565569560884e-3,3.140516223608e-3,4.507551614471e-3,5.982586481349e-3,6.121111798298e-3,0,3.551792118302e-4,4.321846343332e-4,5.594066773556e-4,1.830114241868e-4,9.230257944913e-4,1.293433138737e-3,1.872841619976e-3,2.621216397056e-3,2.887664786449e-3,60.936100,115099.233500,10.221500,0.032200,115170.391100,115170.423300
softplus_sigmoid,many_lut,9,1000,0,0,3,1.973460287679e-3,1.941229052949e-3,2.768197200898e-3,1.355202353644e-3,4.566180888264e-3,5.893955423298e-3,8.562713350115e-3,1.315704360961e-2,1.472490561145e-2,0,6.746190339532e-4,8.552582468888e-4,1.089301386139e-3,3.255890475489e-4,1.847105248643e-3,2.445757314752e-3,3.998614605955e-3,5.284128359034e-3,6.479152083272e-3,61.956300,115161.938300,27.425600,0.033500,115251.320200,115251.353700
gelu_gelu_deriv,standard_pbs,10,1000,0,0,1,9.995558564892e-4,1.167534792919e-3,1.536961093495e-3,5.025234088305e-4,2.673535736797e-3,3.435395542891e-3,5.184006816289e-3,6.589586539847e-3,1.006624580713e-2,0,4.228082859114e-4,5.098915219303e-4,6.623867531675e-4,1.997454211972e-4,1.132046857998e-3,1.528835150402e-3,2.158222114495e-3,2.623266120283e-3,3.331243282340e-3,62.177000,229876.576400,8.618600,0.030700,229947.372000,229947.402700
gelu_gelu_deriv,sdr_pbs,10,1000,1000,0,0,9.858727171966e-4,1.145058784718e-3,1.510994584693e-3,4.989945650319e-4,2.581388077289e-3,3.345339992957e-3,5.283510407049e-3,7.012590068279e-3,7.606410018039e-3,0,4.263711988399e-4,5.064232834352e-4,6.620097742522e-4,2.028243874415e-4,1.144090881609e-3,1.526102712828e-3,2.094668333990e-3,2.935370377896e-3,3.107114550390e-3,61.308000,115324.971700,10.321600,0.034400,115396.601300,115396.635700
gelu_gelu_deriv,many_lut,9,1000,0,0,10,1.965584865493e-3,2.391235305414e-3,3.095404682641e-3,8.897308785818e-4,5.360440327568e-3,7.166290422754e-3,9.649970413855e-3,1.532002648590e-2,1.609557169064e-2,0,8.173050709121e-4,9.896299569415e-4,1.283493292002e-3,3.440972251031e-4,2.192878094809e-3,3.048289085120e-3,4.040121461418e-3,5.050369208698e-3,5.388831837464e-3,61.819000,115232.104400,27.597700,0.034000,115321.521100,115321.555100
