pair,scheme,bits,points,significant_errors,sigerr_0p5,sigerr_1p0,sigerr_2p0,projection_events,invalid_outputs,mean_err1,std_err1,rmse_err1,median_err1,p90_err1,p95_err1,p99_err1,p999_err1,max_err1,mean_err2,std_err2,rmse_err2,median_err2,p90_err2,p95_err2,p99_err2,p999_err2,max_err2,avg_input_us,avg_core_us,avg_decode_us,avg_eval_us
softplus_sigmoid,standard_pbs,10,1000,0,16,0,0,0,0,3.931063885332e-3,4.293078764581e-3,5.820978315494e-3,2.202962440098e-3,9.667498634566e-3,1.249056456512e-2,1.867111987953e-2,2.620555936974e-2,2.764841534207e-2,9.582580066402e-4,1.052389419277e-3,1.423299651197e-3,5.742574855284e-4,2.367141201659e-3,3.175772368124e-3,4.919505532198e-3,6.246248331918e-3,6.686606213740e-3,58.185400,212897.856200,7.165400,212963.207000
softplus_sigmoid,sdr_pbs,10,1000,0,13,0,0,1000,0,3.998579046224e-3,4.256891004065e-3,5.840355760516e-3,2.329291862048e-3,1.005669014995e-2,1.361998551686e-2,1.917025535421e-2,2.309770985097e-2,2.674063007530e-2,1.009060417834e-3,1.064198158673e-3,1.466533548120e-3,6.313628189020e-4,2.499345150322e-3,3.187529055923e-3,4.979651677554e-3,6.440755720262e-3,6.859310037416e-3,58.740200,105811.083400,9.575500,105879.399100
softplus_sigmoid,many_lut,10,1000,9,160,9,0,0,0,7.885739180477e-3,8.964816811416e-3,1.193954868849e-2,4.061447171174e-3,2.139973670708e-2,2.768309466911e-2,3.643634488996e-2,4.961025814087e-2,5.043271018403e-2,1.774067171384e-3,1.901891010867e-3,2.600865960752e-3,1.036086913413e-3,4.479115119082e-3,5.833735313513e-3,8.169793786420e-3,1.015631675812e-2,1.405383527419e-2,58.633800,105774.563900,27.399400,105860.597100

